,price,bedrooms,bathrooms,sqft_living,sqft_lot,waterfront,grade,sqft_above,sqft_basement,lat,long,sqft_living15,sqft_lot15,floors_10,floors_15,floors_20,floors_25,floors_30,floors_35,view_0,view_10,view_20,view_30,view_40,condition_10,condition_20,condition_30,condition_40,condition_50,yr_built_encoded,yr_renovated_encoded,zipcode_freq_encoded,date_10,date_20,date_30,date_40,date_50,date_60,date_70,date_80,date_90,date_100,date_110,date_120
16307,288000.0,3,2.5,1520,3593,0,7,1520.0,0,47.3842,-122.042,1610,3612,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,104,0,590,0,0,0,0,0,0,1,0,0,0,0,0
3747,455000.0,4,2.5,1770,13168,0,7,1770.0,0,47.7306,-121.966,2050,14859,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,90,0,190,0,0,0,0,1,0,0,0,0,0,0,0
17382,499950.0,4,2.25,2160,8817,0,7,1460.0,700,47.7595,-122.356,1880,8817,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,65,0,494,0,1,0,0,0,0,0,0,0,0,0,0
11570,510000.0,5,1.5,1550,9750,0,7,1550.0,0,47.6811,-122.169,1970,9750,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,66,0,432,0,0,0,0,0,0,0,0,0,0,1,0
6752,815000.0,3,2.5,2790,53143,0,9,2790.0,0,47.7687,-122.036,2740,47916,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,91,0,198,0,0,0,1,0,0,0,0,0,0,0,0
17766,535000.0,2,1.5,1940,5700,0,7,970.0,970,47.6881,-122.367,1250,5700,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,37,0,553,0,0,0,0,0,0,0,0,1,0,0,0
20694,575000.0,4,2.25,2070,1230,0,9,1500.0,570,47.5775,-122.41,1569,4802,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,113,0,330,0,0,0,0,0,0,1,0,0,0,0,0
17644,239950.0,2,1.5,1068,1452,0,7,1068.0,0,47.753,-122.244,1078,1357,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,90,0,283,0,1,0,0,0,0,0,0,0,0,0,0
4155,415000.0,3,2.5,2480,8342,0,8,2480.0,0,47.4381,-122.134,2300,8303,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,86,0,455,0,0,0,0,1,0,0,0,0,0,0,0
4566,203000.0,3,1.0,1150,7156,0,6,1150.0,0,47.4864,-122.317,1210,7156,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,53,0,269,0,0,0,0,0,1,0,0,0,0,0,0
2619,290300.0,2,1.0,860,3874,0,6,860.0,0,47.4836,-122.204,1400,5106,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,31,0,268,0,0,0,0,0,1,0,0,0,0,0,0
2585,347500.0,4,2.75,2290,7000,0,8,2290.0,0,47.4442,-122.129,2000,7200,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,77,0,455,0,0,1,0,0,0,0,0,0,0,0,0
12016,920000.0,4,2.5,3470,10045,0,10,3470.0,0,47.554,-122.095,4370,12359,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,93,0,412,0,0,0,0,0,0,0,0,1,0,0,0
14030,2885000.0,7,3.0,5350,14400,0,10,5020.0,330,47.6295,-122.285,3050,7469,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,10,0,269,0,0,0,0,0,0,0,0,1,0,0,0
10646,883000.0,4,2.5,3670,54450,0,10,3670.0,0,47.6211,-122.016,2900,49658,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,99,0,441,0,0,0,0,0,1,0,0,0,0,0,0
12621,405000.0,3,2.75,1310,7300,0,7,1310.0,0,47.6016,-122.123,1310,7030,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,57,0,283,0,0,0,0,0,1,0,0,0,0,0,0
1882,1125000.0,6,3.75,3010,4360,0,9,2000.0,1010,47.6873,-122.333,1600,5160,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,114,0,601,0,0,0,0,0,1,0,0,0,0,0,0
14004,307000.0,3,1.0,1370,7500,0,7,1370.0,0,47.6499,-121.915,1160,7500,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,60,0,124,0,0,0,0,1,0,0,0,0,0,0,0
17303,317000.0,3,1.5,1060,5750,0,7,1060.0,0,47.5532,-122.372,1060,5750,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,81,0,354,1,0,0,0,0,0,0,0,0,0,0,0
21261,870000.0,4,2.5,3520,6773,0,9,2650.0,870,47.5317,-122.391,2930,6458,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,106,0,263,0,0,0,0,1,0,0,0,0,0,0,0
4527,274000.0,3,1.75,1590,7620,0,7,1090.0,500,47.3655,-122.048,1590,7620,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,84,0,590,0,0,0,1,0,0,0,0,0,0,0,0
16048,361810.0,3,1.75,1240,7620,0,7,1240.0,0,47.4576,-122.348,1150,7620,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,68,114,254,0,0,0,0,0,0,0,0,1,0,0,0
6436,625000.0,3,2.5,2750,35000,0,9,2750.0,0,47.75,-122.024,2780,35862,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,93,0,198,0,0,0,1,0,0,0,0,0,0,0,0
10339,661500.0,5,2.5,2500,7200,0,7,1490.0,1010,47.6964,-122.12,1960,8325,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,77,0,574,0,0,0,0,0,1,0,0,0,0,0,0
13051,201000.0,3,1.0,1010,25277,0,5,1010.0,0,47.7242,-121.951,1570,213879,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,61,0,190,0,0,0,0,0,0,1,0,0,0,0,0
18924,716125.0,3,2.25,2110,7279,0,9,2110.0,0,47.6669,-122.17,2130,7279,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,84,0,432,0,0,0,0,0,0,0,1,0,0,0,0
8987,1099500.0,4,2.0,2580,6000,0,9,1300.0,1280,47.6514,-122.413,2300,6200,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,50,0,317,0,0,0,0,0,1,0,0,0,0,0,0
6923,315000.0,3,1.75,1900,7076,0,7,1130.0,770,47.7569,-122.326,1540,10113,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,77,0,446,0,0,0,0,0,0,0,0,0,0,0,1
3713,421000.0,4,2.25,1310,8400,0,7,1310.0,0,47.7317,-122.181,1600,8400,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,66,0,545,0,0,0,0,0,0,0,0,0,0,1,0
19597,187500.0,3,1.0,840,8400,0,6,840.0,0,47.3281,-122.344,1030,8640,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,59,0,499,0,0,0,0,0,0,1,0,0,0,0,0
13463,840000.0,4,3.5,3860,18334,0,10,3120.0,740,47.7095,-122.075,3550,18334,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,96,0,198,0,0,0,0,0,1,0,0,0,0,0,0
6505,250800.0,3,1.75,1290,4000,0,6,1170.0,120,47.5309,-122.354,1140,4000,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,43,0,335,0,0,0,0,0,0,0,0,0,1,0,0
13026,550000.0,3,1.0,960,12527,0,7,960.0,0,47.6891,-122.203,1220,7579,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,72,0,432,0,0,1,0,0,0,0,0,0,0,0,0
21201,2230000.0,3,3.5,3760,5634,1,11,2830.0,930,47.5285,-122.205,3560,5762,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,114,0,406,0,0,0,0,0,0,0,0,0,1,0,0
19762,304500.0,4,2.0,1350,942,0,7,1350.0,0,47.5394,-122.026,1390,942,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,108,0,412,0,0,1,0,0,0,0,0,0,0,0,0
12216,359950.0,2,1.0,1240,7590,0,7,1040.0,200,47.7061,-122.34,1190,5692,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,39,0,494,0,0,0,0,0,0,0,1,0,0,0,0
16014,252500.0,3,2.0,1810,10684,0,8,1810.0,0,47.4619,-122.153,2140,9657,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,87,0,455,0,0,0,0,0,0,0,0,0,0,1,0
17052,326188.0,3,1.0,1300,8800,0,7,1300.0,0,47.64,-121.966,1600,12210,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,77,0,405,0,0,0,0,0,0,0,1,0,0,0,0
10983,178000.0,4,1.5,1200,11163,0,6,1200.0,0,47.3024,-122.106,1200,11163,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,70,0,351,0,0,1,0,0,0,0,0,0,0,0,0
13372,698000.0,2,1.0,1510,4080,0,7,1010.0,500,47.6742,-122.329,1660,4080,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,23,0,601,0,0,0,0,1,0,0,0,0,0,0,0
17005,720000.0,4,2.5,2870,12648,0,9,2870.0,0,47.5632,-122.017,2560,12648,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,86,0,321,0,0,0,0,0,1,0,0,0,0,0,0
18747,275000.0,3,2.0,1540,10410,0,7,1540.0,0,47.3662,-122.315,1590,7725,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,67,0,280,0,0,0,0,0,0,0,0,0,0,0,1
12725,340000.0,3,2.5,2170,9798,0,7,2170.0,0,47.3817,-122.023,2020,8121,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,95,0,590,0,0,0,0,0,0,1,0,0,0,0,0
5487,268000.0,3,1.75,1250,5546,0,7,1250.0,0,47.4725,-122.187,1640,4791,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,87,0,268,0,0,0,0,0,0,0,0,1,0,0,0
18401,350500.0,2,2.5,1290,1445,0,8,1290.0,0,47.6955,-122.376,1470,1503,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,99,0,553,0,0,0,0,0,0,1,0,0,0,0,0
11728,995000.0,5,3.25,3970,8029,0,9,2970.0,1000,47.7764,-122.385,2520,8214,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,79,0,255,0,0,0,0,0,0,0,0,0,0,1,0
17502,431000.0,3,2.5,2440,71002,0,9,2440.0,0,47.2689,-122.01,3170,84000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,96,0,234,0,0,0,0,0,0,0,0,0,1,0,0
18086,925000.0,3,2.5,2440,7419,0,7,1520.0,920,47.6857,-122.334,2440,4880,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,61,0,601,0,1,0,0,0,0,0,0,0,0,0,0
1597,390000.0,3,1.75,1790,7123,0,7,1790.0,0,47.7429,-121.981,1660,8128,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,13,95,190,0,0,0,1,0,0,0,0,0,0,0,0
12523,333000.0,4,2.5,2690,5505,0,8,2690.0,0,47.3666,-122.119,2690,5505,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,104,0,548,0,0,1,0,0,0,0,0,0,0,0,0
12021,289500.0,3,1.0,1200,5525,0,7,1200.0,0,47.6981,-122.325,1580,7200,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,47,0,583,0,0,0,1,0,0,0,0,0,0,0,0
9440,546940.0,3,1.0,1470,7680,0,7,1220.0,250,47.5276,-122.359,1470,6784,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,46,0,335,0,0,0,0,1,0,0,0,0,0,0,0
15830,540000.0,3,2.5,1380,1021,0,8,1160.0,220,47.6148,-122.309,1440,1021,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,108,0,290,0,0,0,0,0,0,0,1,0,0,0,0
4191,300000.0,3,1.0,1220,13000,0,7,1220.0,0,47.7608,-122.353,1510,12600,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,55,0,494,0,0,0,0,1,0,0,0,0,0,0,0
20172,525000.0,3,3.5,2876,5086,0,8,2360.0,516,47.7511,-122.173,2390,4419,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,107,0,273,0,0,0,0,1,0,0,0,0,0,0,0
10633,1150000.0,4,3.5,3760,20609,0,11,3760.0,0,47.7255,-122.059,3360,15761,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,90,0,198,0,0,0,1,0,0,0,0,0,0,0,0
16198,81000.0,2,1.0,730,9975,0,5,730.0,0,47.4808,-122.315,860,9000,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,43,0,269,0,0,1,0,0,0,0,0,0,0,0,0
15205,528000.0,2,1.0,1260,5100,0,7,1120.0,140,47.6805,-122.384,1260,5100,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,25,0,553,0,0,0,0,0,0,0,0,0,0,1,0
15617,640000.0,6,2.0,2840,228690,0,6,2720.0,120,47.7158,-121.966,2330,228690,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,48,0,190,0,0,0,0,0,0,0,0,0,1,0,0
3966,235500.0,5,2.5,2340,13713,0,8,1670.0,670,47.3307,-122.324,2080,11000,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,67,0,280,0,0,0,0,0,0,1,0,0,0,0,0
11516,880000.0,4,2.75,3220,4392,0,9,2320.0,900,47.6713,-122.276,2310,5795,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,31,0,229,0,0,0,0,0,1,0,0,0,0,0,0
11679,840000.0,4,2.75,3040,13559,0,11,3040.0,0,47.522,-122.149,3830,12202,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,103,0,468,0,0,0,0,0,0,0,0,0,1,0,0
3574,230000.0,2,2.0,1300,3608,0,7,1300.0,0,47.3623,-122.309,1510,3608,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,104,0,280,1,0,0,0,0,0,0,0,0,0,0,0
15294,400000.0,4,1.75,1770,12875,0,8,1770.0,0,47.7438,-122.247,2150,12875,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,88,0,283,0,0,0,1,0,0,0,0,0,0,0,0
10100,550000.0,2,1.75,1740,7290,0,8,1280.0,460,47.6461,-122.397,1820,6174,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,50,0,317,0,0,0,0,0,0,0,0,0,0,0,1
9541,825000.0,4,2.25,2770,9340,0,9,2770.0,0,47.5628,-122.081,3010,9340,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,79,0,412,0,0,0,0,0,0,1,0,0,0,0,0
10763,709000.0,4,1.75,2170,4600,0,7,1270.0,900,47.6894,-122.384,1750,4000,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,50,0,553,0,0,0,0,1,0,0,0,0,0,0,0
2685,312000.0,4,2.0,1300,7054,0,7,1300.0,0,47.5071,-122.369,1560,7100,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,50,113,288,0,0,0,0,1,0,0,0,0,0,0,0
7731,775000.0,4,2.5,3220,38448,0,10,3220.0,0,47.6854,-122.053,3090,38448,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,93,0,405,0,0,0,0,0,0,0,0,0,0,1,0
18124,253400.0,3,2.0,1400,8640,0,7,1400.0,0,47.3182,-122.319,1270,9375,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,68,0,280,0,0,0,0,1,0,0,0,0,0,0,0
18311,549900.0,2,1.75,1140,936,0,8,940.0,200,47.6647,-122.284,1160,1327,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,114,0,229,0,0,0,0,0,0,1,0,0,0,0,0
19181,500000.0,3,2.25,2990,216057,0,9,2990.0,0,47.754,-121.942,2840,215622,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,94,0,190,0,0,0,0,0,0,0,1,0,0,0,0
11308,448000.0,4,2.5,2230,5000,0,7,1650.0,580,47.4799,-122.129,2090,4637,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,106,0,468,0,0,0,0,1,0,0,0,0,0,0,0
17327,637500.0,4,3.0,2320,4468,0,8,2160.0,160,47.546,-122.009,2330,3541,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,99,0,321,0,0,0,0,0,0,0,0,0,0,0,1
10130,285000.0,3,2.5,1890,3629,0,7,1890.0,0,47.3613,-122.041,1980,4000,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,105,0,590,0,0,0,0,0,0,0,0,1,0,0,0
5184,526000.0,3,2.25,2000,18099,0,8,1250.0,750,47.5443,-122.18,2060,12000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,78,0,498,0,0,1,0,0,0,0,0,0,0,0,0
15646,368000.0,4,2.5,2689,5724,0,9,2689.0,0,47.3799,-122.184,2665,5700,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,106,0,256,0,0,0,0,0,0,0,0,0,0,1,0
17152,750000.0,3,2.5,2960,69351,1,9,2960.0,0,47.4,-122.42,2350,41433,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,90,0,118,0,0,0,0,0,0,1,0,0,0,0,0
8253,267500.0,2,1.0,960,5150,0,6,960.0,0,47.5201,-122.372,1010,5000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,51,0,354,0,0,0,0,0,0,0,0,1,0,0,0
19480,885000.0,2,2.0,1313,3600,0,8,1313.0,0,47.6369,-122.365,1080,3600,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,4,112,184,0,0,0,0,0,0,0,1,0,0,0,0
14078,970000.0,4,3.25,2790,5420,0,9,1130.0,1660,47.7698,-122.386,2530,7200,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,63,113,255,0,0,0,0,1,0,0,0,0,0,0,0
1790,279000.0,4,2.25,2090,8941,0,7,2090.0,0,47.4332,-122.167,1890,7946,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,75,0,455,0,0,1,0,0,0,0,0,0,0,0,0
11418,474000.0,2,1.0,1100,3500,0,7,1100.0,0,47.6741,-122.323,2050,4000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,8,0,583,0,0,0,0,0,0,0,0,0,1,0,0
6679,815000.0,4,2.5,3150,4203,0,9,3150.0,0,47.688,-122.164,3150,5169,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,102,0,432,0,0,0,0,0,0,1,0,0,0,0,0
1089,385000.0,4,2.0,1850,11700,0,8,1850.0,0,47.4702,-122.12,2110,11700,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,69,0,468,0,0,0,1,0,0,0,0,0,0,0,0
9317,440000.0,3,1.75,2240,8153,0,7,1120.0,1120,47.7303,-122.329,1710,8100,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,48,0,410,0,0,0,0,0,1,0,0,0,0,0,0
5176,195000.0,3,1.75,1580,7875,0,7,1580.0,0,47.1958,-122.003,1560,8314,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,79,0,234,0,0,0,0,0,0,0,1,0,0,0,0
16850,465000.0,3,2.5,1650,4636,0,8,1650.0,0,47.5997,-122.016,1650,4504,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,99,0,359,0,0,0,1,0,0,0,0,0,0,0,0
11208,427800.0,3,1.75,1340,13241,0,7,1340.0,0,47.7268,-122.213,2090,9704,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,85,0,545,0,0,0,0,0,0,0,0,0,0,1,0
20370,1205000.0,4,3.0,3330,7650,0,9,1830.0,1500,47.6889,-122.352,1200,3876,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,108,0,601,0,0,0,1,0,0,0,0,0,0,0,0
7031,424500.0,4,1.5,1830,6985,0,7,1080.0,750,47.7494,-122.236,1650,9501,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,67,0,283,0,0,0,0,0,0,0,0,0,0,0,1
3427,732350.0,4,2.5,2270,7665,0,9,2270.0,0,47.6612,-122.148,2450,8706,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,86,0,574,0,0,0,0,0,0,0,0,0,0,1,0
19604,663000.0,3,2.0,1480,3876,0,7,860.0,620,47.6808,-122.382,1660,3774,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,28,0,553,0,0,0,0,0,1,0,0,0,0,0,0
4873,369500.0,3,1.75,1300,20700,0,7,1300.0,0,47.5587,-121.904,1930,37638,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,62,0,81,0,0,1,0,0,0,0,0,0,0,0,0
